society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,pooja room,store room,study room,others,furniture_labels,luxury_score,latitude,longitude
smart world gems,flat,sector 89,1.2,8433.0,3,3,2,2.0,relatively new,1423.0,0,0,0,0,0,0,45,28.4253,76.9439
independent,house,sector 21,0.45,8411.0,3,2,1,1.0,relatively new,594.0,0,0,0,0,0,0,0,28.5134,77.0723
mapsko mount ville,flat,sector 79,1.65,9091.0,3,3,No,12.0,relatively new,1815.0,0,0,0,0,0,0,0,28.3624,76.9787
shree vardhman victoria,flat,sector 70,1.63,8358.0,3,3,3,8.0,new property,1527.0,1,0,0,0,1,0,35,28.3968,77.0233
ss the leaf,flat,sector 85,2.0,8305.0,3,4,3,4.0,relatively new,2179.0,1,0,0,0,0,0,21,28.4042,76.9513
puri emerald bay,flat,sector 104,2.23,9911.0,3,4,3+,8.0,relatively new,2359.0,1,0,0,0,0,2,130,28.4788,76.996
m3m skywalk,flat,sector 74,1.54,10814.0,2,2,3+,4.0,relatively new,1200.0,0,0,0,0,1,0,115,28.4158,77.0118
m3m skywalk,flat,sector 74,2.2,10901.0,3,3,3,12.0,new property,1826.0,0,0,0,1,0,2,15,28.4158,77.0118
independent,house,sector 108,1.7,5666.0,4,4,3+,1.0,relatively new,3000.0,0,0,0,0,0,0,0,28.5134,76.983
vatika lifestyle homes,flat,sector 83,1.15,6552.0,3,2,3,6.0,relatively new,1588.0,0,0,0,0,0,0,28,28.3986,76.9647
experion the heartsong,flat,sector 108,0.93,6079.0,2,3,3,10.0,relatively new,1161.0,0,0,0,0,0,0,66,28.5134,76.983
elan mercado,flat,sector 80,0.85,12408.0,1,1,1,6.0,relatively new,761.0,0,0,0,0,0,0,45,28.3659,76.9557
m3m heights,flat,sector 65,2.8,15000.0,3,3,3,8.0,relatively new,1866.67,0,0,0,0,0,0,74,28.403,77.069
ss the leaf,flat,sector 85,1.83,7610.0,3,4,3,4.0,relatively new,1925.0,0,0,0,0,0,0,35,28.4042,76.9513
ss the leaf,flat,sector 85,1.17,7001.0,2,2,3,12.0,relatively new,1660.0,0,0,0,0,0,0,35,28.4042,76.9513
emaar mgf the palm drive,flat,sector 66,3.4,15454.0,3,4,3,4.0,relatively new,2200.08,1,0,1,0,0,2,74,28.3925,77.0541
shree vardhman victoria,flat,sector 70,1.6,8205.0,3,5,3,8.0,relatively new,2167.0,1,0,0,0,0,0,136,28.3968,77.0233
independent,house,sector 23,5.5,21825.0,8,8,2,3.0,moderately new,2520.0,1,1,0,1,0,2,54,28.5121,77.0478
rof aalayas,flat,sector 102,0.45,6000.0,1,1,2,4.0,relatively new,750.0,0,0,0,0,0,0,0,28.475,76.9715
dlf regal gardens,flat,sector 90,2.05,9000.0,4,4,3+,6.0,relatively new,2005.0,0,0,0,0,0,2,35,28.4085,76.9369
ild greens,flat,sector 37c,1.0,4320.0,3,3,3+,4.0,under construction,1697.0,0,0,0,0,0,0,38,28.4515,76.9882
alpha corp gurgaonone,flat,sector 84,1.52,7904.0,3,4,3,10.0,relatively new,1703.0,1,0,0,0,0,0,84,28.3979,76.9736
puri emerald bay,flat,sector 104,2.6,15160.0,3,4,3+,6.0,relatively new,2061.0,1,0,0,1,0,0,52,28.4788,76.996
dnha cghs,flat,sector 1,0.85,3864.0,3,3,No,4.0,relatively new,2200.0,0,0,0,0,0,0,0,28.3663,76.9456
vipul lavanya,flat,sector 81,0.6,6666.0,2,2,1,6.0,relatively new,1000.0,0,0,0,0,0,0,35,28.3867,76.9485
dlf regal gardens,flat,sector 90,1.17,6708.0,3,3,3,8.0,relatively new,1630.0,0,0,0,0,0,2,98,28.4085,76.9369
shapoorji pallonji joyville gurugram,flat,sector 102,1.2,14563.0,2,2,3,8.0,relatively new,1073.0,0,0,0,0,0,0,35,28.475,76.9715
tulip petals,flat,sector 89,1.55,10000.0,3,2,3,8.0,moderately new,1403.0,0,0,1,0,0,2,82,28.4253,76.9439
tulip violet,flat,sector 69,1.51,9569.0,3,3,2,10.0,relatively new,1325.0,0,1,0,0,0,1,127,28.3966,77.0341
nbcc heights,flat,sector 89,0.75,6578.0,2,2,2,4.0,moderately new,1032.0,0,0,0,0,0,0,0,28.4253,76.9439
ansal api celebrity suites,flat,sector 2,0.6,8163.0,1,1,1,4.0,moderately new,665.0,0,0,0,0,0,2,68,28.5095,77.032
ansal maple crescent,flat,sector 43,1.35,10037.0,3,3,3,2.0,old property,1320.0,0,0,0,0,1,2,79,28.4629,77.0772
vipul lavanya,flat,sector 81,0.75,5966.0,2,2,2,8.0,moderately new,1397.0,0,0,0,0,0,0,28,28.3867,76.9485
m3m skycity,flat,sector 65,1.8,13700.0,2,2,3,8.0,new property,1456.0,0,0,0,0,0,0,59,28.403,77.069
adani m2k oyster grande,flat,sector 102,2.61,10046.0,3,3,3,2.0,relatively new,2200.0,1,0,0,1,0,0,21,28.475,76.9715
smart world gems,flat,sector 89,0.88,7978.0,2,2,No,2.0,relatively new,1103.0,0,0,0,0,0,0,45,28.4253,76.9439
independent,house,sector 43,5.75,23662.0,4,4,2,4.0,under construction,2430.06,1,0,1,0,0,1,115,28.4629,77.0772
birla navya,house,sector 63a,3.85,15437.0,3,3,3+,4.0,new property,2771.0,1,0,0,0,0,2,122,28.3923,77.0888
ireo skyon,flat,sector 60,2.85,13936.0,3,4,3+,8.0,relatively new,2045.06,1,0,0,0,0,2,136,28.4003,77.0975
sidhartha ncr greens,flat,sector 95,0.56,5656.0,2,2,3,2.0,new property,896.0,0,0,0,0,0,0,8,28.4172,76.9081
la vida by tata housing,flat,sector 113,2.7,16363.0,3,4,3+,2.0,relatively new,2217.0,1,0,0,0,0,2,35,28.5287,77.0233
independent,house,sector 43,2.55,13178.0,3,3,2,3.0,relatively new,1935.04,0,0,0,0,0,2,55,28.4629,77.0772
vipul lavanya,flat,sector 81,1.0,8000.0,2,2,2,8.0,relatively new,1131.0,0,0,0,0,0,0,16,28.3867,76.9485
dlf the arbour,flat,sector 63,7.9,20000.0,4,4,3+,6.0,relatively new,3950.0,0,0,0,0,0,0,54,28.3971,77.0867
dlf the ultima,flat,sector 81,2.25,10553.0,3,3,3+,10.0,relatively new,1929.0,1,0,0,0,0,1,127,28.3867,76.9485
bestech park view residency,flat,sector 2,1.26,8051.0,2,2,3,12.0,moderately new,1416.0,0,0,0,1,0,0,67,28.5095,77.032
dlf the ultima,flat,sector 81,2.45,11491.0,3,3,2,10.0,relatively new,1800.0,1,0,0,0,0,2,136,28.3867,76.9485
dlf carlton estate,flat,sector 43,2.0,14214.0,3,3,2,8.0,moderately new,1273.0,0,0,0,0,0,0,52,28.4629,77.0772
sidhartha ncr one phase,flat,sector 95,0.43,3152.0,2,2,2,10.0,relatively new,1300.0,0,0,0,0,0,0,91,28.4172,76.9081
tulip violet,flat,sector 69,1.7,8457.0,4,4,2,8.0,relatively new,1819.0,0,0,0,0,0,0,104,28.3966,77.0341
dlf park place,flat,sector 54,5.75,24688.0,3,4,3,12.0,relatively new,2329.07,1,0,0,0,0,1,136,28.4348,77.1089
ireo uptown,flat,sector 66,1.5,11219.0,2,3,3,4.0,relatively new,1330.0,1,0,0,0,1,2,50,28.3925,77.0541
dlf city plots phase 2,house,sector 25,6.5,36111.0,5,5,3+,3.0,old property,1800.01,1,1,1,1,0,2,105,28.4844,77.086
independent,house,sector 46,5.5,23061.0,8,8,3+,3.0,moderately new,2385.0,0,0,0,1,1,2,27,28.4374,77.0586
dlf the ultima,flat,sector 81,2.5,11726.0,3,3,2,10.0,relatively new,1700.0,1,0,0,0,0,1,136,28.3867,76.9485
sobha city,flat,sector 108,2.4,17378.0,2,2,2,4.0,new property,1250.0,0,0,0,0,0,2,91,28.5134,76.983
4s aradhya homes,house,sector 67a,1.83,6778.0,4,4,2,4.0,new property,2700.0,0,1,0,0,0,2,107,28.396,77.0372
independent,house,sector 57,3.3,19097.0,4,4,2,3.0,moderately new,1728.02,0,0,1,0,0,2,51,28.4232,77.0752
ansal heights 86,flat,sector 86,0.74,5441.0,2,2,1,8.0,under construction,1231.0,0,0,0,0,1,0,37,28.3986,76.9384
green court,flat,sector 90,0.47,6811.0,2,2,1,6.0,new property,767.0,0,0,0,0,0,0,35,28.4085,76.9369
independent,house,sector 47,5.15,26615.0,3,9,3+,3.0,relatively new,1935.0,0,0,1,0,0,2,75,28.4276,77.0492
independent,house,sector 55,4.6,21296.0,3,3,3+,2.0,old property,2160.0,1,1,1,0,0,2,23,28.4281,77.11
independent,house,sector 7,0.95,21111.0,2,1,1,3.0,new property,450.0,0,0,0,0,0,0,15,28.4644,77.0143
independent,house,sector 7,1.16,11693.0,2,4,2,3.0,moderately new,1102.0,0,0,0,0,1,0,30,28.4644,77.0143
independent,house,sector 22,4.75,20068.0,7,5,3+,3.0,old property,2366.95,0,1,0,0,1,2,36,28.5072,77.064
smart world orchard,flat,sector 61,1.6,13913.0,2,2,2,2.0,under construction,1278.0,0,0,0,0,0,0,8,28.405,77.0963
dlf wellington estate,flat,sector 43,2.09,14615.0,3,3,2,14.0,old property,1294.0,0,0,0,0,0,2,57,28.4629,77.0772
tulip yellow,house,sector 69,2.95,16389.0,4,3,2,3.0,new property,1799.99,0,1,0,0,1,1,82,28.3966,77.0341
nirvana country,house,sector 50,10.0,14285.0,5,7,2,4.0,moderately new,7000.0,1,0,0,0,0,1,0,28.4178,77.0628
shree vardhman flora,flat,sector 90,0.96,5120.0,3,4,3,8.0,new property,1697.0,1,0,0,0,0,0,84,28.4085,76.9369
ansal heights 86,flat,sector 86,0.95,5621.0,3,2,1,8.0,new property,1878.0,0,0,0,0,0,0,15,28.3986,76.9384
park view apartment,flat,sector 56,1.74,7565.0,3,3,3+,2.0,old property,2400.0,1,1,0,0,0,2,91,28.4245,77.0991
pivotal devaan,flat,sector 84,0.34,5831.0,2,2,1,8.0,relatively new,533.0,0,0,1,0,0,0,67,28.3979,76.9736
mapsko royale ville,flat,sector 82,0.97,5418.0,3,4,2,8.0,relatively new,1620.0,1,0,0,0,0,0,66,28.3935,76.96
experion windchants,flat,sector 112,3.75,13383.0,3,5,3+,22.0,relatively new,2536.0,1,0,0,0,0,2,35,28.5189,77.0183
pareena laxmi apartments,flat,sector 99a,0.31,5904.0,2,2,2,4.0,new property,583.0,0,0,0,0,0,0,52,28.4561,76.9542
shree vardhman flora,flat,sector 90,0.7,5177.0,2,2,3,2.0,new property,1224.0,0,0,0,1,0,0,75,28.4085,76.9369
experion windchants,flat,sector 112,6.5,10416.0,4,5,3,6.0,relatively new,4800.0,0,0,0,0,0,0,38,28.5189,77.0183
indiabulls enigma,flat,sector 110,3.7,10882.0,4,5,3,10.0,relatively new,3077.0,1,0,0,0,0,0,118,28.5145,77.0197
experion windchants,flat,sector 112,3.29,11741.0,3,3,3+,2.0,relatively new,2225.56,1,0,0,0,0,2,114,28.5189,77.0183
rattan garden,house,sector 7,1.3,13499.0,2,3,2,3.0,old property,963.0,0,0,0,0,0,0,0,28.4644,77.0143
godrej aria,flat,sector 79,1.95,8519.0,3,4,3+,6.0,new property,1659.0,1,0,0,0,0,0,24,28.3624,76.9787
tulip violet,flat,sector 69,1.85,9203.0,4,4,2,8.0,relatively new,1819.0,0,0,0,0,0,2,119,28.3966,77.0341
international city by sobha phase 2,house,sector 109,9.5,26389.0,5,5,3+,2.0,relatively new,3600.0,1,1,1,1,0,0,107,28.5073,77.0089
tata primanti,flat,sector 72,4.25,13076.0,4,4,3+,10.0,relatively new,2941.0,1,0,0,0,0,2,136,28.4225,77.0211
sare green parc,flat,sector 92,0.75,4820.0,3,2,2,8.0,relatively new,1556.0,0,0,0,0,0,0,0,28.4079,76.9153
indiabulls centrum park,flat,sector 103,1.33,8580.0,3,3,3+,8.0,relatively new,1671.0,0,0,0,1,0,0,121,28.4949,76.9845
signature global solera,flat,sector 107,0.35,6398.0,2,2,2,8.0,relatively new,608.0,0,0,0,0,0,0,37,28.5052,76.9729
umang winter hills,flat,sector 77,0.92,5049.0,3,3,3,8.0,relatively new,1602.0,0,0,0,0,1,2,35,28.3801,76.9845
paras dews,flat,sector 106,1.35,7297.0,4,4,3+,6.0,relatively new,2100.0,1,1,0,0,0,2,136,28.5007,77.0003
corona gracieux,flat,sector 76,1.08,5510.0,3,3,3,6.0,new property,1774.0,1,0,0,0,0,0,45,28.3935,76.9888
shri shyam residency,house,sector 104,0.62,12400.0,3,3,1,2.0,moderately new,900.0,0,0,0,0,1,1,8,28.4788,76.996
m3m woodshire,flat,sector 107,1.2,6176.0,3,3,3,6.0,relatively new,1750.0,0,0,0,0,0,2,35,28.5052,76.9729
antriksh heights,flat,sector 84,0.9,4444.0,3,3,3,8.0,relatively new,1833.0,1,1,0,0,0,0,44,28.3979,76.9736
pareena coban residences,flat,sector 99a,1.13,5658.0,3,5,3,2.0,relatively new,1790.0,1,0,0,0,1,0,35,28.4561,76.9542
ats triumph,flat,sector 104,2.65,8412.0,4,4,3+,10.0,relatively new,2898.0,1,0,0,0,0,0,21,28.4788,76.996
m3m merlin,flat,sector 67,4.5,14267.0,4,4,3+,10.0,relatively new,2854.0,1,0,0,0,0,2,129,28.3859,77.0608
m3m soulitude,flat,sector 89,1.28,8827.0,3,3,2,6.0,relatively new,1611.0,0,0,0,1,0,0,81,28.4253,76.9439
dlf city plots phase 2,house,sector 25,10.75,29861.0,9,9,3+,3.0,old property,3600.0,1,1,1,0,0,0,55,28.4844,77.086
adani m2k oyster grande,flat,sector 102,1.9,14074.0,3,4,3,2.0,relatively new,1605.0,1,0,0,0,0,0,52,28.475,76.9715
ireo uptown,flat,sector 66,1.85,12567.0,2,3,3,4.0,relatively new,1470.0,1,0,0,0,1,2,50,28.3925,77.0541
signature global solera,flat,sector 107,0.28,5623.0,2,2,2,2.0,relatively new,543.0,0,0,0,0,0,0,21,28.5052,76.9729
central park flower valley aqua front towers,flat,sector 33,1.7,9502.0,3,3,3,12.0,under construction,1619.0,0,0,0,0,0,0,16,28.442,77.0207
godrej nature plus,flat,sector 33,1.5,9677.0,3,3,3,8.0,under construction,1403.0,0,0,0,1,0,0,50,28.442,77.0207
imperia aashiyara,flat,sector 37c,0.4,5882.0,2,2,3,8.0,under construction,756.0,0,0,0,0,0,0,97,28.4515,76.9882
independent,house,sector 41,7.0,28283.0,7,7,3+,3.0,moderately new,2475.0,1,1,1,1,0,1,113,28.4557,77.0632
dlf the ultima,flat,sector 81,2.3,10936.0,3,3,3+,8.0,relatively new,1617.0,1,1,0,1,1,1,35,28.3867,76.9485
vatika the seven lamps,flat,sector 82,1.39,6412.0,3,3,3+,10.0,relatively new,1955.0,1,0,0,1,0,2,88,28.3935,76.96
emaar palm gardens,flat,sector 83,1.73,9105.0,3,3,3,10.0,relatively new,1600.0,1,0,0,0,0,2,136,28.3986,76.9647
independent,house,sector 56,7.25,29336.0,8,8,3+,0.0,moderately new,2727.0,0,0,0,0,0,2,24,28.4245,77.0991
international city by sobha phase 1,house,sector 109,5.85,26423.0,4,5,3+,2.0,relatively new,2214.0,1,0,0,0,0,2,73,28.5073,77.0089
ansal sushant lok plots,house,sector 43,3.3,26570.0,1,1,0,2.0,under construction,1242.0,0,0,0,0,0,0,0,28.4629,77.0772
sare green parc,flat,sector 92,0.85,6741.0,3,2,2,6.0,relatively new,1261.0,0,0,0,0,0,0,0,28.4079,76.9153
godrej nature plus,flat,sector 33,1.25,9025.0,2,2,3,6.0,relatively new,1385.0,0,0,0,0,0,0,56,28.442,77.0207
bestech park view residency,flat,sector 2,1.55,8072.0,3,4,3+,10.0,old property,1738.0,1,0,0,0,0,0,76,28.5095,77.032
independent,house,sector 24,4.5,33333.0,2,8,3+,4.0,relatively new,1350.01,1,0,1,0,0,2,51,28.4939,77.1038
sahara grace,flat,sector 28,5.5,14612.0,4,5,3+,8.0,moderately new,3406.0,1,0,0,0,1,2,8,28.4728,77.0865
godrej,flat,sector 79,1.41,9000.0,2,2,3,12.0,new property,1747.0,0,0,0,1,0,0,73,28.3624,76.9787
chd avenue,flat,sector 71,1.25,7171.0,3,4,2,8.0,relatively new,1577.0,1,0,0,0,0,2,122,28.4104,77.0281
dlf the icon,flat,sector 43,6.0,26086.0,4,4,3+,4.0,old property,2556.0,1,0,0,0,0,2,112,28.4629,77.0772
microtek greenburg,flat,sector 86,1.23,8310.0,2,2,3,6.0,relatively new,1339.0,0,0,0,1,0,0,6,28.3986,76.9384
tulip monsella,flat,sector 53,6.02,20816.0,3,3,3,6.0,relatively new,2892.0,0,0,0,0,0,0,59,28.4433,77.0948
alpha corp gurgaonone,flat,sector 84,1.15,7496.0,2,2,3,12.0,relatively new,1394.0,0,0,0,1,0,0,28,28.3979,76.9736
orris aster court,flat,sector 85,0.67,5825.0,2,2,2,2.0,relatively new,1250.0,0,0,0,0,1,2,136,28.4042,76.9513
umang winter hills,flat,sector 77,0.75,5588.0,2,2,2,2.0,relatively new,1140.0,0,0,1,0,0,2,73,28.3801,76.9845
ramson kshitij sec-95 gurugram,flat,sector 95,0.27,2700.0,2,2,No,2.0,relatively new,758.0,0,0,0,0,0,0,0,28.4172,76.9081
tata primanti,flat,sector 72,3.85,13253.0,4,5,3+,6.0,relatively new,2629.0,1,0,0,0,0,2,136,28.4225,77.0211
independent,house,sector 28,9.0,27778.0,6,7,3+,3.0,moderately new,3240.0,1,1,1,1,0,0,53,28.4728,77.0865
antriksh heights,flat,sector 84,0.92,5041.0,3,3,3,2.0,relatively new,1652.0,0,1,0,1,0,0,52,28.3979,76.9736
shapoorji pallonji joyville gurugram,flat,sector 102,0.96,10491.0,2,2,2,6.0,relatively new,828.0,0,0,0,0,0,0,103,28.475,76.9715
umang winter hills,flat,sector 77,0.71,5305.0,2,2,2,2.0,relatively new,1057.0,0,0,0,1,0,0,79,28.3801,76.9845
m3m skywalk,flat,sector 74,1.6,9512.0,2,2,2,8.0,relatively new,1508.0,0,0,0,0,0,2,120,28.4158,77.0118
ild greens,flat,sector 37c,0.95,9223.0,2,2,3+,4.0,relatively new,1179.0,0,1,1,0,0,2,97,28.4515,76.9882
m3m merlin,flat,sector 67,2.9,14167.0,3,3,3,8.0,relatively new,2047.01,0,0,0,0,1,2,35,28.3859,77.0608
signature global the millennia,flat,sector 37d,0.55,9166.0,2,2,3,6.0,new property,543.0,0,0,0,0,0,0,53,28.4478,76.9703
independent,house,sector 50,10.55,32562.0,5,5,3,2.0,moderately new,3240.0,1,0,0,1,0,0,28,28.4178,77.0628
dlf regal gardens,flat,sector 90,1.25,5931.0,3,3,3,8.0,relatively new,1557.0,0,0,0,0,1,0,50,28.4085,76.9369
emaar mgf the palm drive,flat,sector 66,3.5,15901.0,3,3,2,4.0,relatively new,2200.0,0,0,0,1,0,0,74,28.3925,77.0541
shri ram apartments,flat,sector 4,0.32,3368.0,2,2,1,2.0,relatively new,1056.0,0,0,0,0,0,2,7,28.4738,77.0107
paras dews,flat,sector 106,0.92,6642.0,2,2,3+,2.0,relatively new,940.0,0,0,0,0,0,0,136,28.5007,77.0003
tulip violet,flat,sector 69,1.4,8840.0,3,3,2,8.0,relatively new,1428.0,0,0,0,0,0,0,73,28.3966,77.0341
emaar mgf marbella,house,sector 66,12.0,38095.0,5,6,3+,3.0,relatively new,3150.0,1,0,1,0,0,2,115,28.3925,77.0541
godrej nature plus,flat,sector 33,1.4,15124.0,3,2,3+,6.0,new property,113.0,0,0,0,0,0,0,53,28.442,77.0207
independent,house,sector 3,0.55,7333.0,1,1,0,1.0,relatively new,750.0,0,0,0,0,0,0,0,28.4909,77.0176
eros rosewood city,house,sector 49,3.75,22046.0,3,3,1,2.0,old property,1700.99,0,1,0,0,0,2,6,28.4121,77.048
professors enclave cghs,flat,sector 56,1.55,7750.0,3,3,3+,8.0,moderately new,1810.0,1,0,0,0,0,2,35,28.4245,77.0991
pareena coban residences,flat,sector 99a,1.38,7150.0,4,5,3+,10.0,relatively new,2150.0,1,0,0,0,1,0,35,28.4561,76.9542
tulip violet,flat,sector 69,1.37,8907.0,3,3,1,12.0,relatively new,1392.0,0,0,0,0,0,0,87,28.3966,77.0341
independent,house,sector 3,0.37,7916.0,1,1,1,1.0,relatively new,480.0,0,0,0,0,0,0,0,28.4909,77.0176
chd avenue,flat,sector 71,1.4,7945.0,3,3,2,6.0,moderately new,1958.0,0,1,0,0,0,2,96,28.4104,77.0281
m3m golfestate,flat,sector 65,6.1,18138.0,3,3,3,10.0,moderately new,3027.0,1,0,0,1,0,2,136,28.403,77.069
orris carnation residency,flat,sector 85,0.9,6428.0,3,3,2,12.0,relatively new,1402.0,0,0,0,0,0,0,91,28.4042,76.9513
sector 14 rwa,house,sector 14,6.5,26000.0,5,5,0,4.0,moderately new,2500.0,0,0,0,0,0,0,0,28.4711,77.0454
dlf regal gardens,flat,sector 90,1.13,6647.0,3,3,3+,12.0,relatively new,1566.0,0,0,0,0,1,0,50,28.4085,76.9369
sheetla enclave,house,sector 5,0.96,10000.0,2,4,2,3.0,moderately new,945.0,0,1,1,0,0,2,0,28.4794,77.0176
ansal sushant residency,house,sector 57,4.6,17037.0,6,6,3,3.0,old property,2700.0,1,1,1,1,0,1,73,28.4232,77.0752
ansal api esencia,house,sector 67,1.85,8222.0,3,3,3,1.0,relatively new,278.0,0,0,0,0,0,0,42,28.3859,77.0608
la vida by tata housing,flat,sector 113,2.78,10334.0,3,4,3+,6.0,relatively new,2350.0,1,0,0,0,0,0,136,28.5287,77.0233
independent,house,sector 25,8.0,8000.0,3,9,2,3.0,new property,11111.0,0,0,0,0,0,0,0,28.4844,77.086
smart world orchard,flat,sector 61,2.5,16139.0,3,3,1,8.0,relatively new,1549.0,0,0,0,0,0,0,52,28.405,77.0963
raheja sampada,flat,sector 92,0.65,4744.0,3,2,3,8.0,relatively new,1240.0,0,0,0,0,0,0,35,28.4079,76.9153
ss the leaf,flat,sector 85,1.78,7392.0,3,4,3+,4.0,new property,2179.0,0,0,1,0,0,0,84,28.4042,76.9513
orris carnation residency,flat,sector 85,0.9,4531.0,4,4,3,2.0,moderately new,1575.0,0,0,0,0,0,2,35,28.4042,76.9513
shree vardhman flora,flat,sector 90,0.65,4814.0,2,2,3,2.0,relatively new,1222.0,0,0,0,1,0,0,136,28.4085,76.9369
godrej frontier,flat,sector 80,1.4,6189.0,3,4,2,6.0,moderately new,1854.0,0,1,1,0,0,0,82,28.3659,76.9557
ardee city,house,sector 52,5.5,20370.0,9,9,3+,3.0,moderately new,2700.0,1,1,0,0,1,2,21,28.4379,77.0785
gls avenue 51,flat,sector 92,0.5,7812.0,3,3,1,12.0,new property,711.0,0,0,0,0,0,1,66,28.4079,76.9153
m3m heights,flat,sector 65,3.29,17997.0,3,3,3,6.0,new property,1828.08,0,0,0,0,0,0,35,28.403,77.069
rwa sector 46,house,sector 46,4.5,24390.0,6,6,3+,3.0,moderately new,1845.02,0,0,1,0,0,2,56,28.4374,77.0586
emaar digihomes,flat,sector 62,2.1,14254.0,2,2,2,8.0,new property,1365.0,1,0,0,0,0,0,44,28.4139,77.0886
sare crescent parc,flat,sector 92,1.44,7068.0,4,4,3,6.0,relatively new,2267.0,0,0,0,0,0,0,29,28.4079,76.9153
conscient elevate,flat,sector 59,3.78,16500.0,3,3,3,6.0,under construction,2550.0,0,0,0,0,0,0,23,28.4051,77.1097
godrej aria,flat,sector 79,1.69,8522.0,3,3,2,4.0,relatively new,1795.0,0,0,0,0,0,0,90,28.3624,76.9787
smart world orchard,flat,sector 61,1.58,13739.0,2,2,2,2.0,new property,1278.0,0,0,0,1,0,0,15,28.405,77.0963
independent,house,sector 4,0.85,630.0,3,3,1,1.0,relatively new,13500.0,0,0,0,0,1,0,0,28.4738,77.0107
dlf royalton tower,flat,sector 43,6.2,20687.0,4,4,3+,8.0,moderately new,2712.0,1,0,0,0,0,0,7,28.4629,77.0772
shapoorji pallonji joyville gurugram,flat,sector 102,2.0,17729.0,3,3,3+,4.0,relatively new,1456.0,0,0,1,0,0,0,110,28.475,76.9715
proxima tower,flat,sector 37c,0.6,4602.0,2,2,3,4.0,under construction,1180.0,0,1,0,1,0,0,47,28.4515,76.9882
ireo the grand arch,flat,sector 58,2.2,13480.0,2,2,1,2.0,relatively new,1432.0,0,0,0,1,0,2,74,28.42,77.1105
antriksh heights,flat,sector 84,0.69,5111.0,2,2,3+,2.0,relatively new,1222.0,0,0,0,1,0,0,44,28.3979,76.9736
orris aster court premier,flat,sector 85,1.38,6509.0,3,4,2,8.0,relatively new,1616.0,1,0,0,0,0,0,54,28.4042,76.9513
bhagwati sadan,flat,sector 12,1.15,5500.0,3,4,2,2.0,old property,2000.0,1,0,0,0,1,0,0,28.4723,77.032
godrej nature plus,flat,sector 33,1.67,10500.0,3,2,2,6.0,relatively new,1857.0,0,0,0,0,0,0,50,28.442,77.0207
sushant lok 1 builder floors,house,sector 43,2.45,7756.0,4,4,3+,3.0,moderately new,540.0,1,1,0,1,1,1,99,28.4629,77.0772
shree arihant apartment,flat,sector 54,1.55,7380.0,3,3,3+,8.0,moderately new,2000.0,0,1,0,0,1,2,104,28.4348,77.1089
lotus homz,flat,sector 111,0.5,14838.0,1,1,1,2.0,relatively new,374.0,0,0,0,0,0,1,43,28.5238,77.032
ireo the corridors,flat,sector 67a,1.6,9264.0,3,3,2,2.0,new property,1346.0,0,0,1,0,0,2,113,28.396,77.0372
sobha city,flat,sector 108,3.95,16859.0,4,5,3,12.0,relatively new,2343.0,0,0,0,0,0,0,52,28.5134,76.983
sare green parc phase 3,flat,sector 92,1.08,5150.0,4,4,2,8.0,new property,1891.0,1,0,0,0,0,0,90,28.4079,76.9153
godrej summit,flat,sector 104,1.3,9027.0,3,2,3+,16.0,relatively new,1303.0,0,1,1,1,0,2,0,28.4788,76.996
m3m woodshire,flat,sector 107,1.32,6330.0,3,3,3,6.0,relatively new,1758.0,0,0,0,0,0,0,88,28.5052,76.9729
m3m skywalk,flat,sector 74,2.45,12140.0,3,3,3+,12.0,relatively new,1800.0,0,0,0,1,0,0,115,28.4158,77.0118
birla navya,flat,sector 63a,3.15,14632.0,3,3,3,10.0,relatively new,2152.82,0,0,0,0,1,0,35,28.3923,77.0888
m3m ikonic,flat,sector 68,1.78,9128.0,3,3,3+,8.0,relatively new,1845.0,0,0,0,0,0,2,97,28.3853,77.0484
independent,house,sector 2,3.0,19268.0,6,4,3+,3.0,old property,1556.99,0,0,0,0,0,2,23,28.5095,77.032
emaar mgf the palm drive,flat,sector 66,3.5,16470.0,3,4,3,8.0,relatively new,2150.0,1,0,0,0,0,0,60,28.3925,77.0541
tulip violet,flat,sector 69,2.0,10167.0,4,4,1,12.0,relatively new,2186.0,0,0,0,0,0,0,58,28.3966,77.0341
alpha corp gurgaonone,flat,sector 84,1.49,7590.0,3,3,3,10.0,relatively new,1833.0,1,0,0,0,0,0,28,28.3979,76.9736
sare crescent parc,flat,sector 92,0.9,4278.0,4,5,3+,8.0,relatively new,1692.0,1,0,0,0,1,0,45,28.4079,76.9153
breeze global heights,flat,sector 33,0.4,6421.0,2,2,2,6.0,relatively new,623.0,0,0,0,0,0,0,0,28.442,77.0207
malibu towne,house,sector 47,8.81,27191.0,8,6,3+,3.0,moderately new,3240.0,1,0,0,1,1,2,27,28.4276,77.0492
pareena laxmi apartments,flat,sector 99a,0.32,5521.0,2,2,1,2.0,new property,577.0,0,0,0,0,0,0,38,28.4561,76.9542
bestech park view residency,flat,sector 2,0.56,8553.0,1,1,2,4.0,moderately new,722.0,0,0,0,0,0,0,75,28.5095,77.032
independent,house,sector 43,5.5,19298.0,8,7,3+,3.0,moderately new,2850.0,1,1,0,1,1,2,106,28.4629,77.0772
independent,house,sector 8,0.82,10224.0,2,4,0,2.0,relatively new,891.0,0,0,0,0,0,0,0,28.3738,76.897
