society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,pooja room,store room,study room,others,furniture_labels,luxury_score,latitude,longitude
eldeco accolade,flat,sector 33,1.2,8043.0,2,2,2,6.0,new property,1492.0,0,0,0,1,0,0,38,28.442,77.0207
ireo skyon,flat,sector 60,2.12,15531.0,2,2,2,2.0,relatively new,1350.0,0,1,0,0,0,2,136,28.4003,77.0975
international city by sobha phase 1,house,sector 109,6.15,27333.0,5,5,3+,3.0,relatively new,2250.03,1,1,1,0,0,2,99,28.5073,77.0089
ss,flat,sector 85,1.18,7170.0,2,2,3,8.0,relatively new,1630.0,0,0,0,0,0,0,35,28.4042,76.9513
shree vardhman flora,flat,sector 90,1.27,4951.0,4,5,2,2.0,new property,2248.0,1,0,0,1,0,0,75,28.4085,76.9369
sbtl caladium,flat,sector 109,1.63,6404.0,3,3,2,6.0,relatively new,2303.0,1,0,0,0,0,0,121,28.5073,77.0089
independent,house,sector 25,10.85,38150.0,6,6,1,3.0,relatively new,2844.0,0,0,1,0,0,2,98,28.4844,77.086
bestech park view sanskruti,flat,sector 92,1.83,7870.0,4,3,3,10.0,new property,2104.0,1,0,0,0,0,0,99,28.4079,76.9153
independent,house,sector 4,0.8,11852.0,2,3,1,2.0,moderately new,675.0,0,0,0,0,0,0,0,28.4738,77.0107
independent,house,sector 105,0.55,10913.0,2,4,0,2.0,relatively new,56.0,0,0,0,0,0,0,0,28.4952,77.0114
vatika the seven lamps,flat,sector 82,0.85,5979.0,2,2,2,4.0,relatively new,1294.0,0,0,0,1,0,0,88,28.3935,76.96
umang monsoon breeze,flat,sector 78,0.88,4746.0,3,4,3,8.0,moderately new,1668.0,1,1,0,0,0,0,82,28.3733,76.9729
emaar mgf the palm drive,flat,sector 66,2.8,14358.0,3,3,2,12.0,new property,1950.13,1,1,0,1,0,1,52,28.3925,77.0541
pareena coban residences,flat,sector 99a,1.4,7010.0,3,5,3+,2.0,new property,1807.0,0,0,0,0,0,0,15,28.4561,76.9542
tulip violet,flat,sector 69,1.28,8111.0,3,3,2,12.0,relatively new,1428.0,0,1,0,0,0,2,35,28.3966,77.0341
ild greens,flat,sector 37c,1.05,7500.0,3,3,3,8.0,new property,1500.0,0,0,0,0,0,2,0,28.4515,76.9882
tulip white,flat,sector 69,0.9,6000.0,3,2,3+,8.0,relatively new,1326.0,0,0,0,0,0,2,111,28.3966,77.0341
tulip violet,flat,sector 69,1.72,8730.0,4,4,1,12.0,relatively new,1783.0,0,0,0,0,0,0,73,28.3966,77.0341
vatika emilia floors,flat,sector 83,0.65,6190.0,2,2,2,4.0,relatively new,950.0,0,0,0,0,0,2,136,28.3986,76.9647
bestech park view city,flat,sector 48,2.7,11713.0,3,3,3+,4.0,relatively new,2000.0,1,0,0,1,0,2,136,28.4177,77.0359
the laburnum,house,sector 43,11.0,27160.0,5,6,3+,3.0,new property,4050.07,1,1,0,0,0,2,122,28.4629,77.0772
palam vihar extension west zone rwa,house,sector 2,0.4,4444.0,3,4,2,2.0,moderately new,900.0,0,0,0,0,0,0,29,28.5095,77.032
pareena coban residences,flat,sector 99a,1.3,6510.0,3,3,No,2.0,relatively new,1997.0,0,0,0,0,0,0,0,28.4561,76.9542
dlf the skycourt,flat,sector 86,2.2,11500.0,3,3,1,8.0,relatively new,1747.0,0,1,0,0,0,1,53,28.3986,76.9384
smart world orchard,flat,sector 61,1.47,12782.0,2,2,2,2.0,relatively new,1278.0,0,0,0,1,0,0,23,28.405,77.0963
m3m golfestate,flat,sector 65,6.15,15998.0,3,5,3+,6.0,relatively new,4271.0,1,0,0,0,0,1,35,28.403,77.069
central park flower valley,flat,sector 33,1.79,11251.0,3,3,3,6.0,old property,1619.0,0,0,0,0,0,0,58,28.442,77.0207
bestech park view residency,flat,sector 2,1.18,7539.0,2,2,3,12.0,old property,1416.0,0,0,0,1,0,0,68,28.5095,77.032
alpha corp gurgaonone,flat,sector 84,0.85,6692.0,2,2,3,6.0,relatively new,1158.0,0,0,0,0,0,2,28,28.3979,76.9736
ss hibiscus,house,sector 50,12.25,20940.0,5,7,3+,1.0,relatively new,5850.0,1,1,0,1,1,2,122,28.4178,77.0628
ats triumph,flat,sector 104,2.3,10000.0,3,4,3+,4.0,new property,2544.0,1,0,0,0,0,0,88,28.4788,76.996
m3m heights,flat,sector 65,2.5,13600.0,3,3,3,6.0,relatively new,1654.0,0,0,0,0,0,0,39,28.403,77.069
independent,house,sector 47,5.25,11666.0,9,9,3+,4.0,relatively new,4650.0,1,0,0,0,0,2,104,28.4276,77.0492
housing board colony,flat,sector 51,0.3,4630.0,1,1,No,4.0,moderately new,80.0,0,0,0,1,0,0,15,28.432,77.0686
dlf the ultima,flat,sector 81,2.4,11412.0,3,4,3+,8.0,relatively new,1903.0,1,0,0,0,0,1,136,28.3867,76.9485
m3m golfestate,flat,sector 65,4.94,16233.0,3,4,3,8.0,moderately new,2754.0,1,0,0,0,0,0,136,28.403,77.069
ireo the corridors,flat,sector 67a,2.0,11428.0,3,3,3,12.0,new property,1584.0,0,0,0,1,0,0,30,28.396,77.0372
independent,house,sector 46,2.2,24202.0,3,3,2,3.0,old property,909.0,0,0,1,0,0,2,44,28.4374,77.0586
emaar mgf the palm drive,flat,sector 66,2.8,16470.0,3,4,3,12.0,relatively new,1700.06,1,0,0,0,0,2,88,28.3925,77.0541
independent,house,sector 49,4.5,15625.0,8,8,3,3.0,moderately new,2880.0,1,1,1,1,0,1,113,28.4121,77.048
independent,house,sector 25,10.0,37037.0,5,5,3+,3.0,moderately new,9500.0,1,1,0,0,0,1,15,28.4844,77.086
orchid petals,flat,sector 49,2.38,11497.0,3,4,3,6.0,relatively new,2061.0,0,0,0,1,0,0,35,28.4121,77.048
pyramid urban,flat,sector 67a,0.53,8967.0,2,2,1,6.0,relatively new,657.0,0,0,0,0,1,2,35,28.396,77.0372
shree vardhman victoria,flat,sector 70,1.65,8461.0,3,4,3,8.0,relatively new,1527.0,1,0,0,0,1,2,35,28.3968,77.0233
godrej,flat,sector 79,1.93,8532.0,3,4,3+,6.0,relatively new,2047.0,1,0,0,0,0,0,129,28.3624,76.9787
signature global solera,flat,sector 107,0.28,5828.0,2,2,2,4.0,relatively new,543.0,0,0,0,0,0,0,37,28.5052,76.9729
sobha city,flat,sector 108,2.9,14478.0,3,4,2,12.0,relatively new,2003.04,0,0,0,0,0,0,79,28.5134,76.983
supertech araville,flat,sector 79,0.8,5266.0,2,2,2,12.0,new property,1688.0,0,0,0,1,0,0,35,28.3624,76.9787
vatika gurgaon,flat,sector 83,1.1,6051.0,3,3,3,12.0,relatively new,1570.0,1,0,0,0,0,2,53,28.3986,76.9647
independent,house,sector 23,2.7,18620.0,5,5,2,3.0,old property,1450.05,0,0,0,0,0,2,17,28.5121,77.0478
tulip violet,flat,sector 69,1.76,9513.0,3,4,2,6.0,relatively new,1674.0,0,0,0,0,0,0,119,28.3966,77.0341
m3m skycity,flat,sector 65,2.85,15590.0,3,3,3,6.0,relatively new,1828.09,0,0,0,0,0,0,93,28.403,77.069
ss the leaf,flat,sector 85,2.2,5641.0,4,6,3,6.0,relatively new,3920.0,1,0,0,0,0,0,136,28.4042,76.9513
dlf city plots phase 2,house,sector 25,6.3,35000.0,4,4,3+,2.0,old property,1800.0,1,0,1,0,0,0,75,28.4844,77.086
la vida by tata housing,flat,sector 113,1.32,10344.0,2,2,2,6.0,relatively new,1199.0,0,0,0,0,0,0,35,28.5287,77.0233
chintels paradiso,flat,sector 109,1.8,8866.0,3,3,2,6.0,moderately new,1910.0,1,0,0,0,0,0,66,28.5073,77.0089
shree vardhman victoria,flat,sector 70,1.9,9743.0,3,3,3,8.0,new property,1765.0,1,1,1,0,1,0,23,28.3968,77.0233
umang monsoon breeze,flat,sector 78,1.1,5055.0,3,3,3+,8.0,old property,2176.0,1,0,0,0,0,0,60,28.3733,76.9729
tulip violet,flat,sector 69,1.7,8457.0,4,4,2,8.0,relatively new,1804.0,1,1,1,1,0,0,136,28.3966,77.0341
m3m woodshire,flat,sector 107,1.7,6141.0,4,5,3+,10.0,relatively new,2505.0,1,0,0,0,0,0,59,28.5052,76.9729
sare green parc phase 3,flat,sector 92,0.7,5279.0,3,2,2,8.0,relatively new,1325.0,0,0,0,0,0,0,42,28.4079,76.9153
vatika city homes,flat,sector 83,1.08,6206.0,3,3,3,8.0,relatively new,1537.0,0,0,1,0,0,0,89,28.3986,76.9647
m3m soulitude,flat,sector 89,1.42,9978.0,3,3,2,4.0,new property,1581.0,0,0,0,0,0,0,15,28.4253,76.9439
ats triumph,flat,sector 104,2.5,7936.0,4,4,3+,10.0,new property,2851.0,1,0,0,0,0,0,21,28.4788,76.996
dhoot time residency,flat,sector 63,3.0,18271.0,3,3,3+,6.0,relatively new,1641.95,1,0,0,0,0,2,0,28.3971,77.0867
zara aavaas,flat,sector 104,0.2,6644.0,1,2,2,4.0,new property,334.0,0,0,0,0,0,0,67,28.4788,76.996
vatika xpressions,flat,sector 88b,0.92,6815.0,2,2,3,2.0,new property,1350.0,0,0,0,0,0,0,21,28.4446,76.9542
independent,house,sector 105,1.2,13333.0,4,4,1,2.0,moderately new,900.0,0,0,0,0,1,0,14,28.4952,77.0114
m3m skywalk,flat,sector 74,1.47,10954.0,2,2,3,2.0,new property,1281.0,0,0,0,0,0,2,23,28.4158,77.0118
emaar palm gardens,flat,sector 83,1.4,9675.0,3,3,3,8.0,relatively new,1582.0,1,0,0,0,0,1,36,28.3986,76.9647
indiabulls centrum park,flat,sector 103,1.34,7486.0,3,3,3+,10.0,relatively new,1560.0,0,0,0,1,0,0,71,28.4949,76.9845
supertech araville,flat,sector 79,0.71,5522.0,2,2,No,6.0,under construction,1295.0,0,0,0,0,0,0,0,28.3624,76.9787
hector trimurti heights,flat,sector 39,1.5,6382.0,4,3,3,10.0,old property,2611.0,1,0,0,0,0,1,35,28.4434,77.0515
signature global solera,flat,sector 107,0.25,7862.0,1,1,No,4.0,relatively new,318.0,0,0,0,0,0,0,43,28.5052,76.9729
godrej air,flat,sector 85,2.5,13797.0,4,5,3+,12.0,relatively new,2013.0,0,1,0,1,1,2,35,28.4042,76.9513
not applicable,house,sector 4,0.75,11718.0,2,4,3,2.0,moderately new,640.0,0,0,0,0,0,0,0,28.4738,77.0107
independent,house,sector 25,6.5,36111.0,4,4,3+,2.0,moderately new,1800.01,1,1,1,1,0,0,47,28.4844,77.086
signature global grand iva,flat,sector 103,0.5,6250.0,2,2,2,4.0,relatively new,698.0,0,0,0,0,0,0,8,28.4949,76.9845
suncity platinum towers,flat,sector 28,7.0,22222.0,4,3,2,10.0,moderately new,2488.0,1,0,0,0,0,0,23,28.4728,77.0865
pioneer park,flat,sector 61,2.04,14623.0,3,3,3+,8.0,moderately new,1595.0,1,0,0,0,0,2,136,28.405,77.0963
shapoorji pallonji joyville gurugram,flat,sector 102,1.95,17285.0,3,3,3,12.0,new property,1465.0,0,0,1,0,0,0,50,28.475,76.9715
ss,flat,sector 85,2.1,7467.0,4,4,3,2.0,relatively new,2600.0,0,0,0,0,0,0,35,28.4042,76.9513
bhawani enclave,house,sector 12,0.42,8235.0,3,3,0,2.0,new property,567.0,0,1,0,0,0,0,0,28.4723,77.032
assotech blith,flat,sector 99,0.92,6739.0,2,2,3+,22.0,under construction,1235.0,0,0,0,0,0,0,39,28.464,76.9614
sare petioles,flat,sector 92,1.3,6373.0,4,4,No,6.0,relatively new,2040.0,0,0,0,0,0,0,0,28.4079,76.9153
chintels paradiso,flat,sector 109,2.0,7604.0,4,4,2,4.0,relatively new,2380.0,1,1,0,0,0,0,44,28.5073,77.0089
ss the leaf,flat,sector 85,1.85,6578.0,4,5,3+,8.0,relatively new,2545.0,0,0,0,0,0,0,66,28.4042,76.9513
uphaar homes,flat,sector 105,0.45,4736.0,3,2,1,2.0,relatively new,1056.0,0,0,0,0,0,2,30,28.4952,77.0114
bestech park view residency,flat,sector 2,0.98,6961.0,2,2,3,8.0,moderately new,1281.0,0,0,0,0,0,0,68,28.5095,77.032
m3m skycity,flat,sector 65,3.0,16411.0,3,3,3,6.0,under construction,1828.04,0,0,0,0,0,0,77,28.403,77.069
independent,house,sector 92,1.8,7627.0,4,5,0,13.0,relatively new,2360.0,0,0,0,0,0,0,0,28.4079,76.9153
puri diplomatic greens,house,sector 111,9.0,11250.0,5,5,3+,3.0,relatively new,8000.0,1,0,0,0,0,0,81,28.5238,77.032
dlf the ultima,flat,sector 81,2.28,10841.0,3,3,3+,8.0,relatively new,1750.0,1,0,0,0,0,1,35,28.3867,76.9485
chd avenue,flat,sector 71,1.1,6104.0,3,4,3,6.0,moderately new,1631.0,1,0,0,0,0,0,21,28.4104,77.0281
conscient heritage max,flat,sector 102,2.1,9772.0,3,4,3+,10.0,relatively new,1945.0,1,0,0,1,0,0,36,28.475,76.9715
smart world gems,flat,sector 89,0.97,8794.0,2,2,3+,2.0,new property,1103.0,0,0,0,0,0,0,35,28.4253,76.9439
ireo victory valley,flat,sector 67,3.05,12650.0,3,3,3+,4.0,relatively new,2029.0,1,0,0,0,0,2,119,28.3859,77.0608
m3m woodshire,flat,sector 107,0.8,5856.0,2,2,3+,10.0,new property,1236.0,0,0,0,0,0,0,52,28.5052,76.9729
bestech park view ananda,flat,sector 81,1.4,7734.0,3,3,3+,10.0,relatively new,1475.0,0,0,0,0,0,0,66,28.3867,76.9485
unitech uniworld resorts,house,sector 33,11.75,23240.0,5,7,3+,3.0,relatively new,4518.0,1,0,0,0,0,0,71,28.442,77.0207
