Unnamed: 0,society,property_type,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,pooja room,store room,study room,others,Washing Machine,Sofa,Wardrobe,Microwave,Chimney,Geyser,AC,Dining Table,Fan,Exhaust Fan,Curtains,Modular Kitchen,Bed,Fridge,Light,TV,Stove,Water Purifier,Cluster_Labels,luxury_score,area_room_ratio
853,ireo skyon,flat,sector 60,2.5,16129.0,1550.0031000062,Super Built up area 1550(144 sq.m.),2,3,2,,North-West,relatively new,1550.0,,,0,0,0,1,0,0,0,1,0,0,3,0,0,4,0,1,0,0,0,5,0,0,0,0,71,775.0015500031
854,pioneer park,flat,sector 61,2.0,11764.0,1700.1020061203672,Super Built up area 1700(157.94 sq.m.),3,3,3,,North-West,moderately new,1700.0,,,0,0,0,0,0,0,0,0,0,1,3,4,0,5,1,1,1,0,0,7,0,0,0,1,51,566.7006687067891
855,dhoot time residency,flat,sector 63,2.2,12813.0,1717.0061656130492,Super Built up area 1717(159.51 sq.m.),3,4,3+,,North-West,moderately new,1717.0,,,0,0,0,1,0,0,0,2,0,1,4,0,0,6,1,1,1,0,0,6,0,0,0,1,53,572.3353885376831
856,experion the heartsong,flat,sector 108,1.65,8237.0,2003.1564890129905,Super Built up area 2003(186.08 sq.m.)Built Up area: 1771.32 sq.ft. (164.56 sq.m.)Carpet area: 1302.01 sq.ft. (120.96 sq.m.),3,4,3,,North-West,moderately new,2003.0,1771.32,1302.01,0,0,0,1,0,0,0,0,0,1,0,4,0,6,0,0,1,0,0,6,0,0,0,1,51,667.7188296709968
857,aipl the peaceful homes,flat,sector 70a,1.6,9584.0,1669.449081803005,Super Built up area 1565(145.39 sq.m.),2,2,2,22.0,North,moderately new,1565.0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,11,0,0,0,0,57,834.7245409015025
858,vatika the seven lamps,flat,sector 82,0.85,6538.0,1300.0917711838483,Super Built up area 1300(120.77 sq.m.),2,2,2,,East,relatively new,1300.0,,,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,1,0,0,7,0,0,0,1,35,650.0458855919242
859,emaar gurgaon greens,flat,sector 102,1.4,8484.0,1650.16501650165,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,,East,relatively new,1650.0,,1022.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,550.05500550055
860,dlf wellington estate,flat,sector 43,2.09,14615.0,1430.0376325692782,Super Built up area 1430(132.85 sq.m.),3,3,2,,West,old property,1430.0,,,0,0,0,0,0,0,0,2,0,0,3,0,0,9,1,0,1,0,0,16,0,0,0,1,57,476.6792108564261
861,orchid petals,flat,sector 49,2.51,12178.0,2061.093775661028,Super Built up area 2061(191.47 sq.m.),3,3,3+,,East,old property,2061.0,,,0,0,0,1,0,0,0,3,0,1,4,6,0,6,1,0,1,0,0,14,0,0,0,1,52,687.0312585536759
862,sunischit apartments,flat,sector 110,1.69,7954.0,2124.7171234598945,Super Built up area 2200(204.39 sq.m.),3,3,3+,,North,old property,2200.0,,,1,0,0,0,0,0,0,3,0,0,3,0,0,7,1,0,1,0,0,15,0,0,1,1,51,708.2390411532982
863,bestech park view residency,flat,sector 2,0.98,6932.0,1413.733410271206,Super Built up area 1415(131.46 sq.m.),2,2,3,,East,moderately new,1415.0,,,0,0,0,0,0,0,0,2,0,1,1,0,0,4,0,0,1,0,0,5,0,0,0,0,66,706.866705135603
864,experion the heartsong,flat,sector 108,2.0,7196.0,2779.3218454697053,Super Built up area 2779(258.18 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,4,3+,,North-East,relatively new,2779.0,2500.0,2300.0,1,1,0,0,0,0,0,0,0,0,4,6,0,7,1,0,1,0,0,7,0,0,0,1,136,694.8304613674263
865,orchid petals,flat,sector 49,1.95,9972.0,1955.4753309265943,Super Built up area 1805(167.69 sq.m.),3,3,3,2.0,East,old property,1805.0,,,0,0,0,0,0,0,0,3,0,1,4,4,0,8,1,0,1,0,0,15,0,0,0,1,66,651.8251103088647
866,dlf carlton estate,flat,sector 43,2.1,15418.0,1362.0443637307044,Super Built up area 1362(126.53 sq.m.),3,3,1,2.0,East,old property,1362.0,,,0,0,1,0,0,0,0,3,0,1,3,4,0,7,1,0,1,0,0,17,0,0,0,1,66,454.0147879102348
867,kiran residency,flat,sector 56,1.55,7750.0,2000.0,Super Built up area 2000(185.81 sq.m.),3,3,3,,North,old property,2000.0,,,1,0,0,0,0,0,0,3,0,1,3,3,0,6,1,0,1,0,0,11,0,0,0,1,43,666.6666666666666
868,vatika city,flat,sector 49,1.98,9074.0,2182.058629050033,Super Built up area 2182(202.71 sq.m.)Built Up area: 1750.75 sq.ft. (162.65 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3,,South-East,moderately new,2182.0,1750.75,1670.0,1,0,0,0,0,0,0,3,0,0,1,5,0,5,1,1,0,0,0,6,0,0,0,1,72,727.3528763500109
869,the lions cghs,flat,sector 56,2.05,8541.0,2400.187331694181,Carpet area: 2400 (222.97 sq.m.),4,4,3+,,West,moderately new,,,2400.0,0,0,0,0,0,0,0,4,0,1,4,0,0,7,1,0,1,0,0,15,0,0,1,1,35,600.0468329235453
870,pgr shree kripaluji apartment,flat,sector 52,1.4,6086.0,2300.3614853762733,Carpet area: 2300 (213.68 sq.m.),3,3,3+,,North-East,relatively new,,,2300.0,0,0,0,0,0,0,0,3,0,1,3,0,0,7,1,0,1,0,0,12,0,0,1,1,66,766.7871617920911
871,ats tourmaline,flat,sector 109,1.4,8000.0,1750.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3+,,North-East,relatively new,1750.0,1466.0,1350.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,583.3333333333334
872,indiabulls centrum park,flat,sector 103,2.36,9182.0,2570.246133739926,Super Built up area 2875(267.1 sq.m.)Carpet area: 2570 sq.ft. (238.76 sq.m.),4,6,3+,,East,relatively new,2875.0,,2570.0,1,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,1,0,0,18,0,0,0,1,121,642.5615334349815
873,ats kocoon,flat,sector 109,1.65,10645.0,1550.023485204321,Super Built up area 1745(162.12 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,,East,relatively new,1745.0,1650.0,1550.0,0,0,1,0,0,0,0,3,0,0,0,4,0,4,1,0,1,0,0,15,0,0,0,1,130,516.674495068107
874,puri diplomatic greens,flat,sector 111,2.65,13589.0,1950.1067039517256,Super Built up area 2215(205.78 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3,4,2,,West,relatively new,2215.0,,1950.0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1,0,0,17,0,0,0,1,130,650.0355679839085
875,ats triumph,flat,sector 104,2.63,9563.0,2750.182996967478,Super Built up area 3150(292.64 sq.m.)Carpet area: 2750 sq.ft. (255.48 sq.m.),4,4,3+,,North,relatively new,3150.0,,2750.0,1,0,0,0,0,0,0,4,0,0,0,6,0,6,1,0,1,0,0,18,0,0,0,1,123,687.5457492418695
876,puri emerald bay,flat,sector 104,2.25,10465.0,2150.023889154324,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),3,4,3+,,North,relatively new,2450.0,,2150.0,1,0,0,0,0,0,0,0,0,0,0,5,0,6,1,0,1,0,0,16,0,0,0,1,130,716.674629718108
877,ats triumph,flat,sector 104,2.55,13076.0,1950.1376567757725,Super Built up area 3150(292.64 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4,4,3+,,East,relatively new,3150.0,,1950.0,1,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,18,0,0,0,0,121,487.5344141939431
878,indiabulls centrum park,flat,sector 103,1.15,7765.0,1481.0045074050229,Super Built up area 1481(137.59 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.),2,2,3,,North-East,relatively new,1481.0,1250.0,,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,10,0,0,0,1,106,740.5022537025114
